                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.96392,                 1.3021,                 1.1292,                0.67829,                0.76767,                0.82511,                0.57454,                0.98061,                  1.718,                 1.4644,               0.006865,               0.006865,               0.006865
                     97,                0.94692,                 1.3069,                 1.1383,                0.77949,                0.74562,                0.87101,                0.58567,                 1.0176,                 1.5821,                  1.482,               0.006832,               0.006832,               0.006832
                     98,                0.93359,                 1.2406,                 1.1113,                0.89147,                 0.8024,                0.93609,                 0.6178,                 1.0354,                 1.5073,                 1.5184,               0.006799,               0.006799,               0.006799
                     99,                0.92584,                 1.2201,                  1.107,                0.76793,                0.83745,                0.82996,                0.55573,                 1.0281,                 1.6372,                 1.4674,               0.006766,               0.006766,               0.006766
                    100,                  0.936,                 1.1849,                 1.1374,                0.77817,                0.85194,                0.88999,                0.63459,                0.92764,                 1.4748,                  1.353,               0.006733,               0.006733,               0.006733
                    101,                0.92617,                 1.2474,                 1.1187,                0.82878,                0.85614,                0.90029,                0.61004,                 1.0068,                  1.379,                 1.3754,                 0.0067,                 0.0067,                 0.0067
                    102,                0.91671,                 1.1662,                 1.1283,                0.80858,                 0.8206,                0.84957,                0.60164,                 0.9345,                  1.539,                 1.3379,               0.006667,               0.006667,               0.006667
                    103,                0.93108,                 1.2081,                 1.1014,                0.77141,                0.79172,                0.86128,                0.60577,                0.93842,                 1.4739,                 1.3926,               0.006634,               0.006634,               0.006634
                    104,                0.89479,                 1.1976,                 1.1124,                0.90635,                0.75521,                0.87876,                0.63467,                0.89239,                 1.3617,                 1.3593,               0.006601,               0.006601,               0.006601
                    105,                0.90448,                 1.1748,                  1.114,                0.91619,                0.78482,                0.90834,                0.65442,                0.92843,                  1.321,                 1.4152,               0.006568,               0.006568,               0.006568
                    106,                0.92684,                 1.2159,                 1.1182,                0.91246,                 0.7677,                0.93857,                0.69148,                0.93133,                 1.2505,                 1.4048,               0.006535,               0.006535,               0.006535
                    107,                0.91717,                 1.2804,                 1.1279,                0.91767,                0.83103,                0.94281,                0.69005,                0.97349,                 1.0799,                 1.4625,               0.006502,               0.006502,               0.006502
                    108,                0.90188,                 1.2008,                 1.0768,                0.88131,                0.75741,                0.92281,                0.65277,                0.97698,                 1.2683,                 1.4335,               0.006469,               0.006469,               0.006469
